team_id,date_start,date_end,player_id
3,2011-02-27,2014-04-02,149
3,2011-02-27,2011-04-13,45
3,2009-10-31,2013-03-04,388
3,2009-10-28,2012-04-25,487
3,2018-10-22,2019-04-10,1034
3,2010-11-20,2011-04-13,68
3,2017-10-18,2019-04-10,1171
3,2017-10-18,2018-04-10,436
3,2010-11-13,2012-04-06,523
3,2009-11-06,2010-02-16,769
3,2015-10-28,2019-04-10,914
3,2011-03-09,2011-04-13,176
3,2014-02-28,2015-02-08,159
3,2009-10-28,2015-04-15,13
3,2009-10-28,2011-02-22,336
3,2012-11-17,2013-02-06,193
3,2019-01-02,2019-04-09,1036
3,2012-04-15,2012-04-26,484
3,2013-11-29,2013-11-29,733
3,2013-03-15,2014-12-22,236
3,2014-10-29,2015-04-15,51
3,2012-12-13,2014-02-19,403
3,2012-11-03,2015-04-15,405
3,2015-10-30,2019-04-10,225
3,2015-10-28,2016-04-13,368
3,2019-01-30,2019-01-30,1183
3,2011-02-27,2011-03-07,218
3,2017-03-02,2018-02-05,665
3,2016-02-24,2016-04-13,621
3,2013-02-23,2014-04-16,307
3,2017-10-18,2018-04-10,270
3,2014-03-08,2014-03-08,686
3,2011-12-26,2019-04-10,346
3,2010-11-15,2011-04-13,412
3,2014-10-29,2015-04-07,106
3,2010-03-20,2010-04-14,521
3,2014-02-28,2014-04-16,311
3,2017-10-18,2019-04-10,1101
3,2017-10-25,2018-03-22,1233
3,2016-10-26,2017-04-05,254
3,2017-10-25,2018-04-10,1218
3,2014-10-29,2019-04-01,430
3,2010-11-10,2012-11-03,213
3,2017-11-05,2018-03-04,580
3,2012-11-02,2019-04-10,113
3,2017-02-15,2017-02-23,891
3,2018-10-17,2019-04-10,1043
3,2017-02-04,2017-04-11,145
3,2015-02-21,2015-04-10,434
3,2009-10-28,2011-02-22,24
3,2015-10-28,2019-04-10,380
3,2014-11-15,2015-04-15,574
3,2014-11-04,2016-02-10,664
3,2009-11-02,2009-11-14,512
3,2012-11-02,2017-02-01,396
3,2009-10-28,2010-04-14,115
3,2012-01-31,2013-04-09,375
3,2016-10-26,2017-01-31,161
3,2010-10-27,2011-03-28,90
3,2019-02-11,2019-03-31,27
3,2010-11-03,2011-02-15,838
3,2015-10-28,2017-02-01,299
3,2009-10-28,2010-04-14,752
3,2009-11-16,2011-03-30,344
3,2010-02-19,2010-04-14,767
3,2018-10-17,2019-03-17,72
3,2016-11-02,2018-03-31,937
3,2015-02-22,2016-04-13,571
3,2015-11-03,2016-04-13,260
3,2010-02-19,2013-04-17,431
3,2009-10-28,2010-04-14,301
3,2009-10-28,2009-11-14,206
3,2018-02-22,2019-04-09,938
4,2012-10-31,2019-04-10,445
4,2014-12-30,2018-04-11,450
4,2015-10-27,2017-04-05,70
4,2009-10-30,2013-01-29,340
4,2017-10-18,2018-01-27,266
4,2009-10-28,2012-04-26,89
4,2009-10-28,2012-04-26,497
4,2016-10-26,2017-04-09,285
4,2018-02-01,2019-04-09,461
4,2016-10-26,2018-01-27,952
4,2013-11-03,2016-02-10,449
4,2011-12-26,2013-04-17,390
4,2018-10-17,2019-04-10,1033
4,2014-10-29,2015-04-15,419
4,2014-11-25,2015-04-12,47
4,2009-10-28,2014-04-02,175
4,2013-10-30,2014-02-07,158
4,2009-10-28,2011-04-13,363
4,2009-11-03,2010-04-14,822
4,2012-11-14,2012-12-15,262
4,2014-10-29,2015-02-11,366
4,2009-11-04,2011-04-13,462
4,2011-12-28,2012-04-26,333
4,2015-11-23,2017-04-12,924
4,2017-12-26,2018-03-24,700
4,2017-10-18,2018-04-11,592
4,2015-10-27,2016-02-08,275
4,2013-10-30,2015-02-11,629
4,2018-10-17,2019-04-10,666
4,2010-10-30,2015-04-15,323
4,2016-10-26,2018-12-10,960
4,2016-10-26,2019-04-10,154
4,2018-02-11,2018-03-13,444
4,2018-02-11,2018-04-11,612
4,2009-10-28,2013-03-29,51
4,2014-12-12,2016-04-13,190
4,2014-10-29,2016-04-13,74
4,2015-02-03,2015-04-15,447
4,2016-10-26,2019-04-10,355
4,2009-10-31,2015-02-11,332
4,2013-02-04,2019-04-10,226
4,2013-11-17,2014-02-01,432
4,2013-10-30,2014-12-21,222
4,2016-02-24,2016-03-06,568
4,2019-01-21,2019-01-21,584
4,2018-02-05,2018-04-11,862
4,2013-10-30,2017-04-12,594
4,2012-11-10,2013-04-17,466
4,2018-11-09,2019-04-10,1135
4,2012-10-31,2013-04-17,3
4,2009-10-28,2010-04-07,412
4,2012-10-31,2015-02-11,26
4,2017-10-18,2019-04-10,678
4,2017-12-30,2018-01-05,1198
4,2017-10-20,2019-04-10,1127
4,2015-10-27,2017-04-10,81
4,2016-10-26,2017-02-06,894
4,2013-10-30,2014-04-16,720
4,2015-04-01,2015-04-15,255
4,2015-10-28,2019-02-05,694
4,2018-02-05,2018-04-11,1224
4,2015-02-22,2019-04-10,337
4,2009-10-28,2011-04-13,400
4,2009-10-28,2014-04-13,150
4,2015-02-27,2015-04-15,479
4,2014-10-29,2016-04-13,657
4,2015-10-27,2019-02-05,995
4,2015-10-27,2016-04-13,10
4,2019-02-08,2019-03-13,1076
4,2009-10-28,2015-04-10,19
4,2019-02-08,2019-04-10,921
4,2016-02-19,2018-01-28,183
4,2013-10-30,2014-04-16,728
4,2010-10-27,2011-04-10,558
4,2011-12-28,2012-04-26,472
4,2012-12-21,2013-04-17,172
4,2012-01-20,2012-04-18,553
4,2019-02-11,2019-04-10,177
4,2009-10-28,2014-04-02,151
4,2018-02-01,2018-02-05,988
4,2018-10-17,2018-10-17,1082
4,2018-10-17,2019-04-10,406
5,2009-10-30,2014-11-26,200
5,2016-11-01,2017-04-12,243
5,2018-10-17,2019-04-10,1116
5,2016-10-26,2018-04-10,341
5,2017-10-20,2018-04-10,880
5,2018-10-19,2019-04-10,1068
5,2014-03-11,2014-03-15,490
5,2012-11-05,2013-04-17,320
5,2018-01-24,2018-02-05,1228
5,2017-10-18,2019-04-07,634
5,2009-10-28,2011-04-13,23
5,2013-10-29,2015-04-03,418
5,2014-10-29,2017-04-12,122
5,2015-10-28,2016-03-04,249
5,2013-11-02,2015-04-05,294
5,2017-10-18,2019-04-10,219
5,2012-10-31,2013-04-17,366
5,2009-10-28,2012-04-25,62
5,2017-10-18,2018-01-06,333
5,2014-10-29,2015-04-15,643
5,2009-10-28,2014-02-19,435
5,2010-10-27,2019-04-10,156
5,2011-12-26,2015-04-15,271
5,2018-11-19,2019-04-10,1102
5,2017-10-18,2019-04-07,961
5,2013-01-12,2013-01-15,68
5,2013-11-02,2015-04-15,109
5,2018-10-17,2019-04-10,691
5,2009-10-28,2010-04-14,321
5,2018-04-10,2019-04-10,1070
5,2014-02-25,2014-04-16,214
5,2011-12-26,2016-04-12,349
5,2016-10-28,2017-03-29,964
5,2012-10-31,2013-04-17,298
5,2015-11-04,2018-04-10,666
5,2012-10-31,2016-04-12,308
5,2017-10-20,2018-11-26,1018
5,2010-10-27,2011-04-13,824
5,2012-01-11,2013-04-17,73
5,2009-10-28,2012-02-28,527
5,2016-10-26,2017-04-12,248
5,2015-10-28,2018-04-10,941
5,2015-10-28,2016-04-13,347
5,2009-10-30,2011-04-13,307
5,2016-10-28,2017-04-12,452
5,2018-10-17,2019-04-10,391
5,2012-04-13,2012-04-23,541
5,2011-02-27,2018-04-10,106
5,2014-02-25,2017-04-10,228
5,2012-03-20,2012-04-23,48
5,2011-12-28,2012-04-25,55
5,2013-10-29,2015-04-15,6
5,2009-10-28,2010-04-04,777
5,2009-11-27,2011-04-13,180
5,2012-11-05,2013-04-17,145
5,2015-10-28,2017-04-12,383
5,2015-10-29,2019-04-07,866
5,2012-11-05,2014-02-19,269
5,2010-10-27,2017-04-12,463
5,2016-04-13,2017-04-10,901
5,2013-10-29,2014-04-16,542
5,2014-10-29,2017-03-26,150
5,2009-10-28,2015-04-15,161
5,2012-10-31,2013-04-17,209
5,2014-11-08,2016-04-13,595
5,2013-10-29,2016-04-13,646
5,2009-10-28,2011-04-13,98
5,2009-10-28,2011-04-13,511
5,2017-10-18,2019-04-10,1129
5,2016-10-26,2019-04-07,313
5,2010-01-03,2010-02-06,763
5,2018-03-07,2018-04-10,460
5,2018-02-23,2018-02-23,1222
5,2009-10-28,2010-04-14,339
5,2016-03-07,2016-04-13,30
5,2009-11-06,2013-04-17,260
5,2018-10-17,2019-04-10,139
5,2017-10-18,2019-01-23,640
5,2019-02-11,2019-04-07,142
6,2014-10-28,2019-04-10,663
6,2014-03-01,2014-03-08,717
6,2017-12-13,2017-12-26,659
6,2013-02-26,2013-03-15,395
6,2018-12-31,2019-04-10,1143
6,2012-11-02,2016-04-13,334
6,2017-01-22,2017-01-27,868
6,2009-10-28,2010-04-14,778
6,2016-11-07,2017-01-04,650
6,2012-11-02,2018-04-11,191
6,2014-10-28,2015-03-22,89
6,2013-02-23,2013-04-17,285
6,2016-10-28,2018-04-11,130
6,2009-10-28,2011-04-13,296
6,2016-02-19,2016-04-06,449
6,2015-10-28,2017-04-08,418
6,2016-10-28,2017-03-27,649
6,2014-10-30,2016-02-08,567
6,2010-10-28,2012-04-26,136
6,2016-10-26,2019-04-10,366
6,2016-11-07,2017-04-10,643
6,2012-01-27,2012-04-26,155
6,2012-02-20,2012-04-26,64
6,2012-11-04,2013-04-17,328
6,2014-10-28,2016-04-13,604
6,2014-03-01,2016-04-13,671
6,2013-02-23,2014-04-16,286
6,2009-10-28,2012-04-07,436
6,2012-11-02,2014-04-16,215
6,2010-12-21,2012-04-26,33
6,2014-10-28,2018-02-06,681
6,2016-02-19,2016-04-13,275
6,2014-10-28,2019-04-10,310
6,2010-12-20,2011-04-10,516
6,2011-12-25,2014-02-19,14
6,2012-11-04,2013-02-20,212
6,2010-12-20,2013-02-04,128
6,2018-10-19,2019-03-05,1136
6,2012-02-03,2013-02-20,154
6,2009-10-28,2013-02-20,102
6,2009-10-28,2014-04-11,444
6,2017-12-13,2018-04-11,1204
6,2018-10-19,2019-04-10,956
6,2013-10-29,2014-04-16,51
6,2010-12-20,2012-04-25,325
6,2015-10-28,2016-04-13,94
6,2009-10-28,2011-01-21,788
6,2016-10-26,2017-03-20,283
6,2018-10-17,2019-04-05,919
6,2016-12-02,2017-04-12,190
6,2017-10-18,2019-04-07,1088
6,2017-10-18,2019-01-29,969
6,2012-11-02,2013-02-13,307
6,2011-12-26,2012-04-26,568
6,2016-01-18,2016-02-05,1194
6,2017-10-21,2019-04-10,1126
6,2012-11-02,2015-04-15,391
6,2011-12-29,2012-02-01,521
6,2014-10-28,2015-04-01,311
6,2010-11-18,2011-04-13,830
6,2009-10-28,2010-12-14,121
6,2017-04-04,2017-04-12,875
6,2015-10-28,2018-04-11,910
6,2017-10-20,2018-04-11,146
6,2009-10-28,2010-04-14,29
6,2012-11-07,2015-04-15,356
6,2018-11-02,2019-04-05,1060
6,2019-03-17,2019-04-10,580
6,2009-10-28,2010-12-12,162
6,2018-10-17,2019-01-31,1120
6,2012-11-02,2019-04-07,420
6,2017-04-04,2017-04-12,966
6,2010-10-28,2012-04-25,192
6,2018-02-22,2018-03-03,918
6,2009-11-16,2010-12-14,357
6,2018-03-09,2018-04-11,1237
6,2013-10-29,2014-04-16,38
6,2009-10-28,2012-04-25,382
6,2016-10-26,2017-02-13,446
6,2015-10-30,2016-04-13,626
6,2017-10-20,2018-04-11,27
6,2013-10-29,2013-12-27,98
6,2016-10-28,2017-04-12,902
6,2017-02-23,2019-04-10,291
6,2013-02-23,2016-02-05,183
6,2018-12-31,2019-03-25,1158
6,2013-10-29,2016-04-08,640
6,2009-10-28,2010-12-14,439
6,2011-12-25,2012-04-26,525
6,2017-10-21,2019-04-10,1011
6,2014-10-28,2015-04-15,424
7,2009-10-28,2010-04-04,395
7,2015-02-22,2015-03-22,411
7,2018-10-17,2019-03-18,1162
7,2010-10-27,2015-02-11,184
7,2013-10-30,2015-04-08,111
7,2010-11-09,2011-03-07,845
7,2011-02-27,2011-04-13,514
7,2010-11-04,2011-02-11,293
7,2015-11-11,2016-04-12,191
7,2012-02-20,2012-04-25,544
7,2013-10-30,2014-01-24,285
7,2019-04-03,2019-04-10,1091
7,2016-10-25,2017-02-25,449
7,2011-02-23,2017-04-12,77
7,2017-03-01,2017-04-12,955
7,2011-02-23,2011-04-12,158
7,2012-11-02,2013-04-17,294
7,2009-10-28,2010-04-14,136
7,2013-12-25,2013-12-28,724
7,2014-10-29,2016-04-12,630
7,2013-11-08,2015-04-15,401
7,2016-10-25,2019-01-27,69
7,2017-10-19,2019-04-10,1122
7,2012-04-25,2012-04-26,545
7,2009-10-28,2011-02-16,394
7,2009-10-28,2009-11-13,221
7,2009-10-28,2010-04-14,351
7,2019-02-03,2019-03-28,153
7,2019-02-03,2019-04-09,998
7,2011-03-02,2011-04-13,487
7,2016-10-25,2017-03-27,482
7,2015-10-28,2016-04-12,274
7,2017-10-19,2018-02-06,691
7,2010-04-04,2013-04-17,97
7,2014-02-27,2014-03-15,33
7,2010-02-20,2010-04-02,742
7,2009-11-18,2009-12-17,426
7,2018-02-11,2019-04-03,974
7,2017-10-19,2019-02-01,465
7,2017-10-19,2019-03-24,1185
7,2019-02-24,2019-04-10,960
7,2010-02-23,2012-04-18,557
7,2011-12-25,2014-12-12,196
7,2018-02-08,2019-04-10,1030
7,2010-03-17,2010-04-14,748
7,2012-02-19,2015-01-04,189
7,2012-11-02,2013-04-17,282
7,2009-10-28,2012-04-17,273
7,2017-10-24,2018-04-11,207
7,2012-11-02,2013-04-15,124
7,2014-10-29,2015-04-15,94
7,2011-12-28,2012-03-24,368
7,2014-01-05,2014-04-16,42
7,2015-10-28,2016-04-12,919
7,2011-12-28,2012-04-26,492
7,2016-02-22,2016-03-01,41
7,2016-10-25,2018-01-23,322
7,2019-02-11,2019-04-10,303
7,2009-12-18,2010-03-19,791
7,2009-10-28,2010-02-17,347
7,2014-11-22,2016-03-30,226
7,2011-12-25,2012-04-26,432
7,2016-10-25,2017-04-12,182
7,2019-01-28,2019-04-10,1010
7,2013-02-27,2014-02-01,233
7,2018-10-17,2019-04-10,1161
7,2015-11-02,2016-04-12,452
7,2015-10-28,2018-02-06,877
7,2012-11-02,2013-03-18,360
7,2015-10-28,2018-04-11,391
7,2015-01-15,2019-04-05,88
